##
##  InChi => KEGG
## 2020.6.24 Osaka Univ.
## from https://github.com/fumiomatsuda/blankmaps/tree/master/ids
##
%Allow_Multiple_Output
C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
C00311	ODBLHEXUDAPZAU-UHFFFAOYSA-N
C00314	LXNHXLLTXMVWPM-UHFFFAOYSA-N
C00315	ATHGHQPFGPMSJY-UHFFFAOYSA-N
C00322	FGSBNBBHOZHUBO-UHFFFAOYSA-N
C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N
C00328	YGPSJZOEDVAXAB-QMMMGPOBSA-N
C00330	YKBGVTZYEHREMT-KVQBGUIXSA-N
C00332	OJFDKHTZOUZBOS-CITAKDKDSA-N
C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N
C00337	UFIVEPVSAGBUSI-REOHCLBHSA-N
C00345	BIRSGZKFKXLSJQ-SQOUGZDYSA-N
C00346	SUHOOTKUPISOBE-UHFFFAOYSA-N
C00352	XHMJOUIAFHJHBW-IVMDWMLBSA-N
C00354	RNBGYGVWRKECFJ-VRPWFDPXSA-N
C00355	WTDRDQBEARUVNC-LURJTMIESA-N
C00356	CABVTRNMFUVUDM-VRHQGPGLSA-N
C00357	BRGMHAYQAZFZDJ-RTRLPJTCSA-N
C00360	KHWCHTKSEGGWEX-RRKCRQDMSA-N
C00361	CIKGWCTVFSRMJU-KVQBGUIXSA-N
C00362	LTFMZDNNPPEQNG-KVQBGUIXSA-N
C00363	UJLXYODCHAELLY-XLPZGREQSA-N
C00364	GYOZYWVXFNDGLU-XLPZGREQSA-N
C00365	JSRLJPSBLDHEIO-SHYZEUOFSA-N
C00366	LEHOTFFKMJEONL-UHFFFAOYSA-N
C00378	JZRWCGZRTZMZEH-UHFFFAOYSA-N
C00379	HEBKCHPVOIAQTA-NGQZWQHPSA-N
C00380	OPTASPLRGRRNAP-UHFFFAOYSA-N
C00383	OFOBLEOULBTSOW-UHFFFAOYSA-N
C00385	LRFVTYWOQMYALW-UHFFFAOYSA-N
C00386	CQOVPNPJLQNMDC-ZETCQYMHSA-N
C00387	NYHBQMYGNKIUIF-UUOKFMHZSA-N
C00388	NTYJJOPFIAHURM-UHFFFAOYSA-N
C00392	FBPFZTCFMRRESA-KVTDHHQDSA-N
C00394	MVMSCBBUIHUTGJ-IKVBDKFJSA-N
C00398	APJYDQYYACXCRM-UHFFFAOYSA-N
C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N
C00408	HXEACLLIILLPRG-YFKPBYRVSA-N
C00415	OZRNSSUDZOLUSN-LBPRGKRZSA-N
C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N
C00418	KJTLQQUUPVSXIM-ZCFIWIBFSA-N
C00423	WBYWAXJHAXSJNI-VOTSOKGWSA-N
C00429	OIVLITBTBDPEFK-UHFFFAOYSA-N
C00430	ZGXJTSGNIOSYLO-UHFFFAOYSA-N
C00431	JJMDCOVWQOJGCB-UHFFFAOYSA-N
C00438	HLKXYZVTANABHZ-REOHCLBHSA-N
C00439	NRXIKWMTVXPVEF-BYPYZUCNSA-N
C00441	HOSWPDPVFBCLSY-VKHMYHEASA-N
C00445	MEANFMOQMXYMCT-ABLWVSNPSA-O
C00449	ZDGJAHTZVHVLOT-YUMQZZPRSA-N
C00455	DAYLJWODMCOQEW-TURQNECASA-N
C00458	RGWHQCVHVJXOKC-SHYZEUOFSA-N
C00459	NHVNXKFIZYSCEB-XLPZGREQSA-N
C00460	AHCYMLUZIRLXAA-SHYZEUOFSA-N
C00474	HEBKCHPVOIAQTA-UHFFFAOYSA-N
C00475	UHDGCWIWMRVCDJ-XVFCMESISA-N
C00482	PCMORTLOPMLEFB-ONEGZZNKSA-N
C00483	DZGWFCGJZKJUFP-UHFFFAOYSA-N
C00486	BPYKTIZUTYGOLE-IFADSCNNSA-N
C00487	PHIQHXFUZVPYII-UHFFFAOYSA-N
C00489	JFCQEDHGNNZCLN-UHFFFAOYSA-N
C00491	LEVWYRKDKASIDU-IMJSIDKUSA-N
C00492	MUPFEKGTMRGPLJ-ZQSKZDJDSA-N
C00493	JXOHGGNKMLTUBP-HSUXUTPPSA-N
C00498	WFPZSXYXPSUOPY-ROYWQJLOSA-N
C00499	NUCLJNSWZCHRKL-UHFFFAOYSA-N
C00503	UNXHWFMMPAWVPI-ZXZARUISSA-N
C00504	OVBPIULPVIDEAO-LBPRGKRZSA-N
C00506	XVOYSCVBGLVSOL-UHFFFAOYSA-N
C00507	SHZGCJCMOBCMKK-JFNONXLTSA-N
C00509	FTVWIRXFELQLPI-ZDUSSCGKSA-N
C00519	VVIUBCNYACGLLV-UHFFFAOYSA-N
C00526	MXHRCPNRJAMMIM-SHYZEUOFSA-N
C00530	QIGBRXMKCJKVMJ-UHFFFAOYSA-N
C00534	NHZMQXZHNVQTQA-UHFFFAOYSA-N
C00544	IGMNYECMUMZDDF-UHFFFAOYSA-N
C00547	SFLSHLFXELFNJZ-QMMMGPOBSA-N
C00559	OLXZPDWKRNYJJZ-RRKCRQDMSA-N
C00568	ALYNCZNDIQEVRV-UHFFFAOYSA-N
C00575	IVOMOUWHDPKRLL-KQYNXXCUSA-N
C00576	SXKNCCSPZDCRFD-UHFFFAOYSA-N
C00581	BPMFZUMJYQTVII-UHFFFAOYSA-N
C00583	DNIAPMSPPWPWGF-UHFFFAOYSA-N
C00586	PMMURAAUARKVCB-CERMHHMHSA-N
C00587	IJFXRHURBJZNAO-UHFFFAOYSA-N
C00588	YHHSONZFOIEMCP-UHFFFAOYSA-O
C00590	JMFRWRFFLBVWSI-NSCUHMNNSA-N
C00606	ADVPTQAUNPRNPO-REOHCLBHSA-N
C00624	RFMMMVDNIPUKGG-YFKPBYRVSA-N
C00628	WXTMDXOMEHJXQO-UHFFFAOYSA-N
C00631	GXIURPTVHJPJLF-UHFFFAOYSA-N
C00631	GXIURPTVHJPJLF-UWTATZPHSA-N
C00632	WJXSWCUQABXPFS-UHFFFAOYSA-N
C00633	RGHHSNMVTDWUBI-UHFFFAOYSA-N
C00636	HXXFSFRBOHSIMQ-RWOPYEJCSA-N
C00637	WHOOUMGHGSPMGR-UHFFFAOYSA-N
C00642	XQXPVVBIMDBYFF-UHFFFAOYSA-N
C00643	JRLGPAXAGHMNOL-LURJTMIESA-N
C00645	OVRNDRQMDRJTHS-ZTVVOAFPSA-N
C00647	ZMJGSOSNSPKHNH-UHFFFAOYSA-N
C00655	DCTLYFZHFGENCW-UUOKFMHZSA-N
C00666	GMKMEZVLHJARHF-WHFBIAKZSA-N
C00669	RITKHVBHSGLULN-WHFBIAKZSA-N
C00670	SUHOQUVVVLNYQR-MRVPVSSYSA-N
C00689	LABSPYBHMPDTEL-LIZSDCNHSA-N
C00695	BHQCQFFYRZLCQQ-OELDTZBJSA-N
C00705	FTDHDKPUHBLBTL-SHYZEUOFSA-N
C00712	ZQPPMHVWECSIRJ-KTKRTIGZSA-N
C00713	OWEGMIWEEQEYGQ-UCFFOQEWSA-N
C00719	KWIUHFFTVRNATP-UHFFFAOYSA-N
C00750	PFNFFQXMRSDOHW-UHFFFAOYSA-N
C00766	ZONYXWQDUYMKFB-UHFFFAOYSA-N
C00777	SHGAZHPCJJPHSC-YCNIQYBTSA-N
C00780	QZAYGJVTTNCVMB-UHFFFAOYSA-N
C00785	LOIYMIARKYCTBW-UHFFFAOYSA-N
C00788	UCTWMZQNUQWSLP-VIFPVBQESA-N
C00791	DDRJAANPRJIHGJ-UHFFFAOYSA-N
C00794	FBPFZTCFMRRESA-JGWLITMVSA-N
C00795	LKDRXBCSQODPBY-OEXCPVAWSA-N
C00805	YGSDEFSMJLZEOE-UHFFFAOYSA-N
C00815	XFTRTWQBIOMVPK-UHFFFAOYSA-N
C00818	DSLZVSRJTYRBFB-LLEIAEIESA-N
C00823	BXWNKGSJHAJOGX-UHFFFAOYSA-N
C00852	CWVRJTMFETXNAD-JUHZACGLSA-N
C00860	ZQISRDCJNBUVMM-YFKPBYRVSA-N
C00864	GHOKWGTUZJEAQD-UHFFFAOYSA-N
C00870	BTJIUGUIPKRLHP-UHFFFAOYSA-N
C00881	CKTSBUTUHBMZGZ-SHYZEUOFSA-N
C00898	FEWJPZIEWOKRBE-JCYAYHJZSA-N
C00913	FSASIHFSFGAIJM-UHFFFAOYSA-N
C00918	WIIZWVCIJKGZOK-RKDXNWHRSA-N
C00931	QSHWIQZFGQKFMA-UHFFFAOYSA-N
C00940	COJBGNAUUSNXHX-UHFFFAOYSA-N
no data	SYEOWUNSTUDKGM-UHFFFAOYSA-N
C00942	ZOOGRGPOEVQQDX-UUOKFMHZSA-N
C00943	DMJWGQPYNRPLGA-KQYNXXCUSA-N
C00944	WVMWZWGZRAXUBK-SYTVJDICSA-N
C00954	SEOVTRFCIGRIMH-UHFFFAOYSA-N
C00956	OYIFNHCXNCRBQI-BYPYZUCNSA-N
C00978	MVAWJSIDNICKHF-UHFFFAOYSA-N
C00979	VZXPDPZARILFQX-BYPYZUCNSA-N
C00986	XFNJVJPLKCPIBV-UHFFFAOYSA-N
C00989	SJZRECIVHVDYJC-UHFFFAOYSA-N
C00994	LNGMWZFHTXFDNM-RBDZCENOSA-N
C01004	WWNNZCOKKKDOPX-UHFFFAOYSA-N
C01005	BZQFBWGGLXLEPQ-REOHCLBHSA-N
C01013	ALRHLSYJTWAHJZ-UHFFFAOYSA-N
C01018	SHZGCJCMOBCMKK-SVZMEOIVSA-N
C01020	BLHCMGRVFXRYRN-UHFFFAOYSA-N
C01026	FFDGPVCHZBVARC-UHFFFAOYSA-N
C01035	TUHVEAJXIMEOSA-UHFFFAOYSA-N
C01040	SXZYCXMUPBBULW-SKNVOMKLSA-N
C01042	OTCCIMWXFLJLIA-BYPYZUCNSA-N
C01047	DATAGRPVKZEWHA-YFKPBYRVSA-N
C01077	FCXZBWSIAGGPCB-YFKPBYRVSA-N
C01081	HZSAJDVWZRBGIF-UHFFFAOYSA-O
C01083	HDTRYLNUVZCQOY-LIZSDCNHSA-N
C01089	WHBMMWSBFZVSSR-GSVOUGTGSA-N
C01094	RHKKZBWRNHGJEZ-VRPWFDPXSA-N
C01096	GACTWZZMVMUKNG-SLPGGIOYSA-N
C01102	FXDNYOANAXWZHG-VKHMYHEASA-N
C01108	WQGWDDDVZFFDIG-UHFFFAOYSA-N
C01112	PPQRONHOSHZGFQ-WDCZJNDASA-N
C01118	GNISQJGXJIDKDJ-YFKPBYRVSA-N
C01132	OVRNDRQMDRJTHS-KEWYIRBNSA-N
C01137	ZUNBITIXDCPNSD-LSRJEVITSA-N
C01143	SIGQQUBJQXSAMW-ZCFIWIBFSA-N
C01152	JDHILDINMRGULE-LURJTMIESA-N
C01157	PMMYEEVYMWASQN-DMTCNVIQSA-N
C01159	XOHUEYCVLUUEJJ-UWTATZPHSA-N
C01161	CFFZDZCDUFSOFZ-UHFFFAOYSA-N
C01177	INAPMGSXUVUWAF-UOTPTPDRSA-N
C01179	KKADPXVIOXHVKN-UHFFFAOYSA-N
C01182	YAHZABJORDUQGO-NQXXGFSBSA-N
C01188	DBXBTMSZEOQQDU-UHFFFAOYSA-N
C01197	QAIPRVGONGVQAS-DUXPYHPUSA-N
C01234	PAJPWUMXBYXFCZ-UHFFFAOYSA-N
C01236	IJOJIVNDFQSGAB-SQOUGZDYSA-N
C01262	MYYIAHXIVFADCU-QMMMGPOBSA-N
C01384	VZCYOOQTPOCHFL-UPHRSURJSA-N
C01405	BSYNRYMUTXBXSQ-UHFFFAOYSA-N
C01424	LNTHITQWFMADLM-UHFFFAOYSA-N
C01444	SOWBFZRMHSNYGE-UHFFFAOYSA-N
C01452	BJHIKXHVCXFQLS-PYWDMBMJSA-N
C01454	LPNBBFKOUUSUDB-UHFFFAOYSA-N
C01456	JACRWUWPXAESPB-UHFFFAOYSA-N
C01468	IWDCLRJOBJJRNH-UHFFFAOYSA-N
C01487	WQZGKKKJIJFFOK-IVMDWMLBSA-N
C01494	KSEBMYQBYZTDHS-HWKANZROSA-N
C01517	CMWTZPSULFXXJA-VIFPVBQESA-N
C01530	QIQXTHQIDYTFRH-UHFFFAOYSA-N
C01546	SMNDYUVBFMFKNZ-UHFFFAOYSA-N
C01571	GHVNFZFCNZKVNT-UHFFFAOYSA-N
C01585	FUZZWVXGSFPDMH-UHFFFAOYSA-N
C01586	QIAFMBKCNZACKA-UHFFFAOYSA-N
C01595	OYHQOLUKZRVURQ-HZJYTTRNSA-N
C01596	FSQQTNAZHBEJLS-UPHRSURJSA-N
C01598	DRLFMBDRBRZALE-UHFFFAOYSA-N
C01601	FBUKVWPVBMHYJY-UHFFFAOYSA-N
C01606	XNGIFLGASWRNHJ-UHFFFAOYSA-N
C01613	UQZIYBXSHAGNOE-XNSRJBNMSA-N
C01620	JPIJQSOTBSSVTP-STHAYSLISA-N
C01672	VHRGRCVQAFMJIZ-UHFFFAOYSA-N
C01678	UFULAYFCSOUIOV-UHFFFAOYSA-N
C01685	QXKAIJAYHKCRRA-BXXZVTAOSA-N
C01697	FBPFZTCFMRRESA-GUCUJZIJSA-N
C01712	ZQPPMHVWECSIRJ-MDZDMXLPSA-N
C01717	HCZHHEIFKROPDY-UHFFFAOYSA-N
C01732	HNEGQIOMVPPMNR-NSCUHMNNSA-N
C01762	UBORTCNDUKBEOP-UUOKFMHZSA-N
C01771	LDHQCZJRKDOVOX-NSCUHMNNSA-N
C01796	YTBSYETUWUMLBZ-IUYQGCFVSA-N
C01817	ZTVZLYBCZNMWCF-WDSKDSINSA-N
C01826	SNDPXSYFESPGGJ-BYPYZUCNSA-N
C01829	XUIIKFGFIJCVMT-LBPRGKRZSA-N
C01835	FYGDTMLNYKFZSV-DZOUCCHMSA-N
C01879	ODHCTXKNWHHXJC-VKHMYHEASA-N
C01897	VSJKWCGYPAHWDS-FQEVSTJZSA-N
C01904	HEBKCHPVOIAQTA-QWWZWVQMSA-N
C01909	AUTOLBMXDDTRRT-UHFFFAOYSA-N
C01921	RFDAIACWWDREDC-FRVQLJSFSA-N
C01924	QUOGESRFPZDMMT-YFKPBYRVSA-N
C01933	LRQKBLKVPFOOQJ-YFKPBYRVSA-N
C01970	GUBGYTABKSRVRQ-DCSYEGIMSA-N
C01971	GUBGYTABKSRVRQ-QUYVBRFLSA-N
C01983	IWYDHOAUDWTVEP-SSDOTTSWSA-N
C01984	IWYDHOAUDWTVEP-ZETCQYMHSA-N
C01996	OIPILFWXSMYKGL-UHFFFAOYSA-N
C02037	YMAWOPBAYDPSLA-UHFFFAOYSA-N
C02043	XGILAAMKEQUXLS-UHFFFAOYSA-N
C02045	UQPHVQVXLPRNCX-VKHMYHEASA-N
C02052	LUEWUZLMQUOBSB-AYQJAVFRSA-N
C02154	MNQZXJOMYWMBOU-UHFFFAOYSA-N
C02170	ZIYVHBGGAOATLY-UHFFFAOYSA-N
C02181	LCPDWSOZIOUXRV-UHFFFAOYSA-N
C02204	SRBFZHDQGSBBOR-STGXQOJASA-N
C02214	XVOUMQNXTGKGMA-OWOJBTEDSA-N
C02226	HNEGQIOMVPPMNR-IHWYPQMZSA-N
C02237	ODHCTXKNWHHXJC-GSVOUGTGSA-N
C02242	FZWGECJQACGGTI-UHFFFAOYSA-N
C02262	MSWZFWKMSRAUBD-GASJEMHNSA-N
C02291	ILRYLPWNYFXEMH-WHFBIAKZSA-N
C02304	HKOOXMFOFWEVGF-UHFFFAOYSA-N
C02305	DRBBFCLWYRJSJZ-UHFFFAOYSA-N
C02325	LZFOPEXOUVTGJS-ONEGZZNKSA-N
C02348	POJWUDADGALRAB-PVQJCKRUSA-N
C02356	QWCKQJZIFLGMSD-VKHMYHEASA-N
C02360	OTTXIFWBPRRYOG-UHFFFAOYSA-N
C02362	ONGPAWNLFDCRJE-UHFFFAOYSA-N
C02376	LRSASMSXMSNRBT-UHFFFAOYSA-N
C02394	OOCCDEMITAIZTP-UHFFFAOYSA-N
C02427	XIGSAGMEBXLVJJ-YFKPBYRVSA-N
C02455	RQEUFEKYXDPUSK-UHFFFAOYSA-N
C02470	FBZONXHGGPHHIY-UHFFFAOYSA-N
C02494	GFYLSDSUCHVORB-IOSLPCCCSA-N
C02504	BITYXLXUCSKTJS-UHFFFAOYSA-N
C02512	BXRLWGXPSRYJDZ-VKHMYHEASA-N
C02528	RUDATBOHQWOJDD-BSWAIDMHSA-N
C02571	RDHQFKQIGNGIED-MRVPVSSYSA-O
C02592	QBYUNVOYXHFVKC-GBURMNQMSA-N
C00437	JRLGPAXAGHMNOL-LURJTMIESA-N
C02637	SLWWJZMPHJJOPH-PHDIDXHHSA-N
C02642	JSJWCHRYRHKBBW-UHFFFAOYSA-N
C02656	WLJVNTCWHIRURA-UHFFFAOYSA-N
C02666	DKZBBWMURDFHNE-NSCUHMNNSA-N
C02670	UYUXSRADSPPKRZ-SKNVOMKLSA-N
C02674	YIXDEYPPAGPYDP-IUYQGCFVSA-N
C02678	TVIDDXQYHWJXFK-UHFFFAOYSA-N
C02700	BYHJHXPTQMMKCA-QMMMGPOBSA-N
C02710	WXNXCEHXYPACJF-ZETCQYMHSA-N
C02727	DTERQYGMUDWYAZ-ZETCQYMHSA-N
C02787	KDSNLYIMUZNERS-UHFFFAOYSA-N
C02794	VCKPUUFAIGNJHC-UHFFFAOYSA-N
C02823	RMRCNWBMXRMIRW-WZHZPDAFSA-L
C02926	QJPWUUJVYOJNMH-UHFFFAOYSA-N
